amenity,name,website,opening_hour,closing_hour,lat,lon,open_dawn,open_day,open_dusk,open_night
bar,Sky Bar,http://www.skybar.ro/,12:00,22:00,44.4572887,26.095949,1,1,1,0
bar,Pe baricade,https://instagram.com/pe_baricade?igshid=1bw5mktrfs942,10:00,22:00,44.4249344,26.1073688,1,1,1,0
bar,Freddo,https://freddo.ro/,10:00,05:00,44.4308236,26.0997496,1,1,1,1
bar,Nomad Skybar,https://www.nomadskybar.ro/,16:00,04:00,44.4303849,26.1000843,0,0,1,1
bar,Paradise Club,https://paradise-club.ro/,11:00,23:00,44.4307326,26.100788,1,1,1,0
bar,CBD Tapas Bar,http://www.legalzic.ro/,12:00,22:00,44.4320826,26.0973468,1,1,1,0
bar,ATIPICO,https://www.facebook.com/p/Atipico-Victoriei-61552794144309/,10:00,22:00,44.4336959,26.0978613,1,1,1,0
bar,Silence pub,https://www.facebook.com/SilenceCafePub/,12:00,00:00,44.4496106,26.0964879,1,1,1,1
bar,Trei Betivi,http://www.treibetivi.ro/,16:00,02:00,44.4417357,26.1095398,0,0,1,1
bar,Wine Mood,https://winemood.ro/,15:00,00:00,44.4184987,26.1126572,0,0,1,1
bar,Trio Bar & Lounge,https://www.reach-menu.com/trio,12:00,01:00,44.4332685,26.0986606,1,1,1,1
bar,Bar de cartier,https://www.facebook.com/restaurant.de.cartier.tineretului,12:00,00:00,44.4685959,26.0350327,1,1,1,1
bar,Corks Cozy Bar,https://corks.ro/?utm_source=gbp&utm_medium=organic&utm_campaign=dcalocal,12:00,00:00,44.4319782,26.1025219,1,1,1,1
bar,English Bar,https://atheneepalace.intercontinental.com/dining/english-bar/,18:00,02:00,44.4410379,26.0955107,0,0,1,1
bar,The Drunken Lords,https://drunkenlords.ro/,18:00,05:00,44.4323396,26.1009244,0,0,1,1
bar,Altfel,https://altfel.com.ro/,12:00,00:00,44.4312812,26.0999145,1,1,1,1
bar,Hugo - Bar & Lounge,https://hugobarandlounge.ro/,12:00,02:00,44.4331056,26.0983311,1,1,1,1
bar,Caffe No. 35,https://www.instagram.com/cafe_no35/,10:00,21:00,44.4340991,26.0737644,1,1,1,0
bar,QP Pub,http://www.qp-pub.ro/,10:00,22:00,44.4395516,26.1039133,1,1,1,0
bar,BarFly,https://barflybuc.wordpress.com/,15:00,06:00,44.429127,26.1099435,1,0,1,1
bar,Hidden - The Social Space,https://www.facebook.com/hidden.com.ro,16:00,22:00,44.4153695,26.1196731,0,1,1,0
bar,1974 Niște Domni și Fiii,https://instagram.com/nistedomnisifiii1974?igshid=OGQ5ZDc2ODk2ZA==&utm_source=qr,10:00,22:00,44.4307357,26.1018712,1,1,1,0
bar,Alan Dala,https://www.facebook.com/AlandalaCafe/?locale=ro_RO,12:00,00:00,44.4476748,26.1060993,1,1,1,1
bar,Lokal,https://www.facebook.com/LOKAL/,17:00,00:00,44.4479183,26.1041131,0,0,1,1
bar,Macaz Bar Teatru Coop,https://m.facebook.com/macazcoop/,07:00,21:00,44.4348951,26.10818,1,1,1,0
bar,Interbelic Victoria,https://interbelic.ro/#rec519117026,21:00,05:00,44.4331141,26.0965625,0,0,1,1
bar,La Baracă,https://www.facebook.com/RestaurantLaBaraca/,11:00,22:00,44.4560769,26.1157695,1,1,1,0
